dates;fibers;signal_to_noise;julian_day;RV;err_RV
2012-08-02;WAVE;563;2456142.48338723;-42.263;0.8847
2012-08-02;WAVE;564;2456142.40951142;-17.626;0.0356
2012-08-02;WAVE;562;2456142.36619054;-17.187;0.0203
2012-08-02;WAVE;587;2456142.36373688;-17.122;0.0163
2012-08-02;WAVE;761;2456142.34693167;-17.124;0.02
2012-08-02;WAVE;787;2456142.34327433;-16.932;0.0181
2012-08-02;WAVE;913;2456142.33649206;-16.957;0.0165
2012-08-02;WAVE;746;2456142.33083246;-17.172;0.0139
2012-08-02;WAVE;436;2456142.59566504;-16.959;0.019
2012-08-03;WAVE;310;2456143.59711417;0.387;0.6932
2012-08-03;WAVE;556;2456143.49619037;-17.165;0.0206
2012-08-03;WAVE;702;2456143.35289476;-16.942;0.0191
2012-08-04;WAVE;528;2456144.36465564;-17.268;0.0173
2012-08-04;WAVE;543;2456144.36576672;-17.17;0.0189
2012-08-04;WAVE;568;2456144.47302134;-17.307;0.019
2012-08-05;WAVE;536;2456145.51284793;-17.512;0.0179
2012-08-05;WAVE;517;2456145.38773499;-17.864;0.0312
2012-08-05;WAVE;578;2456145.38254992;-2.207;1.0176
2012-08-05;WAVE;593;2456145.37888102;-18.466;0.0478
