dates;fibers;signal_to_noise;julian_day;JD;RV;err_RV
2008-08-21;WAVE;490;2454700.48409259;2454700.48409259;-33.139;0.0002
2009-08-06;WAVE;392;2455050.47043007;2455050.47043007;-33.229;0.0003
2009-09-07;WAVE;157;2455082.57926898;2455082.57926898;-33.138;0.0007
2009-09-10;WAVE;370;2455085.53784085;2455085.53784085;-33.163;0.0003
2010-08-03;WAVE;129;2455412.50282049;2455412.50282049;-33.137;0.0008
2010-08-06;WAVE;104;2455415.52497532;2455415.52497532;-33.145;0.0008
2010-08-07;WAVE;133;2455416.40177202;2455416.40177202;-33.146;0.0006
2010-08-07;WAVE;176;2455416.60185253;2455416.60185253;-33.145;0.0006
2010-08-07;WAVE;182;2455416.56538061;2455416.56538061;-33.143;0.0006
2010-08-07;WAVE;177;2455416.51110677;2455416.51110677;-33.152;0.0006
2010-08-07;WAVE;152;2455416.47460013;2455416.47460013;-33.145;0.0006
2010-08-07;WAVE;131;2455416.36504545;2455416.36504545;-33.139;0.0008
2010-08-07;WAVE;175;2455416.43813978;2455416.43813978;-33.135;0.0007
2010-08-08;WAVE;157;2455417.49741071;2455417.49741071;-33.215;0.0006
2010-08-08;WAVE;157;2455417.42461742;2455417.42461742;-33.208;0.0007
2010-08-08;WAVE;167;2455417.57029659;2455417.57029659;-33.218;0.0007
2010-08-08;WAVE;160;2455417.60674532;2455417.60674532;-33.225;0.0006
2010-08-08;WAVE;129;2455417.38786774;2455417.38786774;-33.2;0.0007
2010-08-08;WAVE;173;2455417.53373212;2455417.53373212;-33.207;0.0007
2010-08-09;WAVE;150;2455418.60411337;2455418.60411337;-33.247;0.0007
2010-08-09;WAVE;151;2455418.56546549;2455418.56546549;-33.243;0.0007
2010-08-09;WAVE;126;2455418.52903996;2455418.52903996;-33.242;0.0007
2010-08-10;WAVE;89;2455419.56966144;2455419.56966144;-33.174;0.0008
2010-08-10;WAVE;139;2455419.60585544;2455419.60585544;-33.178;0.0006
2010-08-10;WAVE;171;2455419.64218833;2455419.64218833;-33.126;0.0008
2010-08-11;WAVE;142;2455420.37525817;2455420.37525817;-33.125;0.0008
2010-08-11;WAVE;155;2455420.53906274;2455420.53906274;-33.129;0.0008
2010-08-11;WAVE;148;2455420.57569653;2455420.57569653;-33.127;0.0007
2010-08-13;WAVE;117;2455422.43943405;2455422.43943405;-33.247;0.0008
2010-08-13;WAVE;139;2455422.54789991;2455422.54789991;-33.256;0.0007
2010-08-24;WAVE;461;2455433.55216689;2455433.55216689;-33.137;0.0002
2011-07-19;WAVE;271;2455762.57298015;2455762.57298015;-33.136;0.0004
2011-08-08;WAVE;210;2455782.59343552;2455782.59343552;-33.217;0.0005
2011-08-20;WAVE;173;2455794.48196757;2455794.48196757;-33.207;0.0006
2011-09-14;WAVE;305;2455819.44483911;2455819.44483911;-33.185;0.0004
